Nama_Pangan,air(g),Energi(Kal),Protein(g),Lemak(g),Karbohidrat(g),Kalsium(mg),Fosfor(mg),Vit_B1(mg),Vit_B2(mg),Vit_C(mg)
Susu kedelai,  87.0 ,  41 ,  3.5 ,  2.5 ,  5.0 ,  50 ,  45 ,0,0,0
Tahu goreng,  77.3 ,  115 ,  9.7 ,  8.5 ,  2.5 ,  229 ,  200 ,  0.01 ,  0.24 ,  0 
Tempe kedelai + jagung,  70.6 ,  143 ,  12.0 ,  5.5 ,  11.4 ,  155 ,  156 ,0,0,0
"Susu kambing, segar",  85.9 ,  64 ,  4.3 ,  2.3 ,  6.6 ,  98 ,  78 ,  0.06 ,  0.45 ,  1 
"Susu sapi, segar",  88.3 ,  61 ,  3.2 ,  3.5 ,  4.3 ,  143 ,  60 ,  0.03 ,  0.18 ,  1 
Susu kental manis,  25.0 ,  343 ,  8.2 ,  10.0 ,  55.0 ,  275 ,  209 ,  0.05 ,  0.43 ,  1 
"Yoghurt, segar",  88.0 ,  52 ,  3.3 ,  2.5 ,  4.0 ,  120 ,  90 ,  0.04 ,  0.10 ,  0 
"Cumi-cumi, goreng (Squid, fried)",  54.2 ,  265 ,  40.6 ,  10.1 ,  0.0 ,  62 ,  270 ,  0.09 ,  0.00 ,  0 
"Ikan asin, kering",  40.0 ,  193 ,  42.0 ,  1.5 ,  0.0 ,  200 ,  300 ,0,0,0
"Ikan bandeng presto, masakan",  45.3 ,  296 ,  17.1 ,  20.3 ,  11.3 ,"  1,422 ",  659 ,  0.14 ,0,  69 
Ikan mujahir goreng,  44.7 ,  416 ,  46.9 ,  23.9 ,  0.0 ,  346 ,  654 ,  0.12 ,  0.10 ,  0 
"Telur ayam, dadar, masakan",  61.9 ,  251 ,  16.3 ,  19.4 ,  1.4 ,  62 ,  250 ,  0.21 ,  0.00 ,  0 
"Telur bebek, asin, mentah (Duck, egg, salted, raw)",  66.5 ,  179 ,  13.6 ,  13.3 ,  4.4 ,  120 ,  157 ,  0.28 ,  0.98 ,  0 
"Ikan, telur, asin, mentah (Roe, (fish egg), fresh)",  37.8 ,  358 ,  20.7 ,  26.4 ,  9.4 ,  48 ,  311 ,  0.21 ,  0.54 ,0
"Ayam, ampela, goreng",  4.8 ,  270 ,  32.3 ,  11.2 ,  9.9 ,  129 ,  314 ,  0.21 ,0,  0 
"Ayam, usus, goreng",  4.6 ,  473 ,  45.2 ,  26.3 ,  13.9 ,"  1,407 ",  458 ,  0.57 ,0,0
"Bebek, daging, goreng",  48.8 ,  300 ,  24.0 ,  20.7 ,  4.5 ,  170 ,  170 ,  0.10 ,  0.40 ,0
"Sapi, daging, dendeng, mentah",  25.0 ,  301 ,  55.0 ,  9.0 ,  0.0 ,  30 ,  370 ,  0.10 ,0,  0 
"Ayam goreng church texas, dada",  42.2 ,  338 ,  35.2 ,  20.6 ,  0.4 ,  79 ,  221 ,  0.52 ,  0.16 ,  0 
"Ayam goreng church,texas paha",  47.2 ,  295 ,  34.0 ,  16.0 ,  1.5 ,  81 ,  179 ,  0.44 ,  0.13 ,  0 
"Alpukat, segar (Avocado, fresh)",  84.3 ,  85 ,  0.9 ,  6.5 ,  7.7 ,  10 ,  20 ,  0.05 ,  0.08 ,  13 
"Anggur hutan, segar",  92.3 ,  30 ,  0.5 ,  0.2 ,  6.8 ,  39 ,  12 ,  0.01 ,0,  3 
"Apel, segar",  84.1 ,  58 ,  0.3 ,  0.4 ,  14.9 ,  6 ,  10 ,  0.04 ,  0.03 ,  5 
"Belimbing, segar (Starfruit, fresh)",  90.0 ,  36 ,  0.4 ,  0.4 ,  8.8 ,  4 ,  12 ,  0.03 ,0,  35 
"Buah Naga Merah, segar",  85.7 ,  71 ,  1.7 ,  3.1 ,  9.1 ,  13 ,  14 ,  0.50 ,  0.30 ,  1 
"Duku, segar",  82.0 ,  63 ,  1.0 ,  0.2 ,  16.1 ,  18 ,  9 ,  0.05 ,  0.15 ,  9 
"Durian, segar (Durian, fresh)",  65.0 ,  134 ,  2.5 ,  3.0 ,  28.0 ,  7 ,  44 ,  0.10 ,  0.19 ,  53 
"Jambu air, segar (Roseapple, fresh)",  87.0 ,  46 ,  0.6 ,  0.2 ,  11.8 ,  8 ,  9 ,  0.02 ,  0.38 ,  5 
"Jambu biji (Guava, fresh)",  86.0 ,  49 ,  0.9 ,  0.3 ,  12.2 ,  14 ,  28 ,  0.02 ,  0.03 ,  87 
"Jambu monyet, segar (Cashew apple, fresh)",  82.6 ,  64 ,  0.7 ,  0.6 ,  15.8 ,  4 ,  13 ,  0.02 ,  0.00 ,  197 
"Jeruk bali, segar (Pummelo, fresh)",  86.3 ,  48 ,  0.6 ,  0.2 ,  12.4 ,  23 ,  27 ,  0.04 ,  0.00 ,  43 
"Jeruk nipis, segar (Lime, fresh)",  88.9 ,  44 ,  0.5 ,  0.2 ,  10.0 ,  18 ,  22 ,  0.01 ,  0.03 ,  20 
"Kedondong, segar (Ambarella, fresh)",  87.8 ,  47 ,  0.5 ,  0.2 ,  10.4 ,  7 ,  58 ,  0.07 ,  0.04 ,  32 
"Kelapa muda, daging, segar (Coconut, flesh, Young, fresh )",  83.3 ,  68 ,  1.0 ,  0.9 ,  14.0 ,  7 ,  30 ,  0.06 ,  0.02 ,  4 
"Lemon, segar (Lemon, fresh)",  92.2 ,  34 ,  0.5 ,  0.8 ,  6.2 ,  23 ,  20 ,  0.09 ,  0.12 ,  50 
"Mangga, segar (Mango, fresh)",  86.6 ,  52 ,  0.7 ,  0.0 ,  12.3 ,  20 ,  16 ,  0.03 ,  0.01 ,  12 
"Manggis, segar (Mangosteen, fresh)",  83.0 ,  63 ,  0.6 ,  0.6 ,  15.6 ,  8 ,  12 ,  0.03 ,  0.03 ,  5 
"Markisa, segar (Giant Granadilla, fresh)",  64.7 ,  144 ,  3.5 ,  1.2 ,  29.8 ,  27 ,  203 ,  0.02 ,  0.17 ,  10 
"Melon, segar",  90.8 ,  37 ,  0.6 ,  0.4 ,  7.8 ,  12 ,  14 ,  0.02 ,  0.10 ,  0 
"Nanas, segar (Pineapple, fresh)",  88.9 ,  40 ,  0.6 ,  0.3 ,  9.9 ,  22 ,  14 ,  0.02 ,  0.04 ,  22 
"Pepaya, segar (Papaya, fresh)",  86.7 ,  46 ,  0.5 ,  0.1 ,  12.2 ,  23 ,  12 ,  0.04 ,  0.06 ,  78 
"Pisang ambon, segar (Banana, fresh)",  72.9 ,  108 ,  1.0 ,  0.8 ,  24.3 ,  20 ,  30 ,  0.05 ,  0.11 ,  9 
"Rambutan, segar (Rambutan)",  80.5 ,  69 ,  0.9 ,  0.1 ,  18.1 ,  16 ,  16 ,  0.00 ,  0.07 ,  58 
"Salak bali, segar (snake fruit, bali,fresh)",  85.1 ,  57 ,  0.5 ,  0.1 ,  13.6 ,  94 ,  25 ,  0.00 ,0,  0 
"Sawo Manila, segar (Sapodilla, manila, fresh)",  75.5 ,  92 ,  0.5 ,  1.1 ,  22.4 ,  25 ,  12 ,  0.01 ,  0.04 ,  21 
"Semangka, segar (Water melon, fresh)",  92.1 ,  28 ,  0.5 ,  0.2 ,  6.9 ,  7 ,  12 ,  0.05 ,  0.05 ,  6 
"Sirsak, segar (Soursop, fresh)",  81.7 ,  65 ,  1.0 ,  0.3 ,  16.3 ,  14 ,  27 ,  0.07 ,  0.08 ,  20 
"Ganyong, segar (Canna, fresh)",  79.9 ,  77 ,  0.6 ,  0.2 ,  18.4 ,  15 ,  67 ,  0.10 ,0,  9 
"Kentang, segar (Yam, fresh)",  83.4 ,  62 ,  2.1 ,  0.2 ,  13.5 ,  63 ,  58 ,  0.09 ,  0.10 ,  21 
"Ketela pohon/ singkong, segar (Cassava, fresh)",  61.4 ,  154 ,  1.0 ,  0.3 ,  36.8 ,  77 ,  24 ,  0.06 ,  0.10 ,  31 
"Talas bogor, segar (Taro, bogor, fresh)",  72.4 ,  108 ,  1.4 ,  0.4 ,  25.0 ,  47 ,  67 ,  0.06 ,  0.07 ,  4 
"Ubi jalar merah, segar (Sweet potato, redish, fresh)",  61.9 ,  151 ,  1.6 ,  0.3 ,  35.4 ,  29 ,  74 ,  0.13 ,  0.08 ,  11 
"Ubi jalar putih, segar (Sweet potato, whitish, fresh)",  77.8 ,  88 ,  0.4 ,  0.4 ,  20.6 ,  30 ,  10 ,  0.25 ,  0.06 ,  36 
Nasi, 56.7 , 180 , 3.0 , 0.3 , 39.8 , 25 , 27 , 0.05 , 0.10 , 0 
Nasi tim, 71.0 , 120 , 2.4 , 0.4 , 26.0 , 3 , 7 , 0.10 , 0.00 , 0 
"Cantel, mentah (Sorghum, raw)", 11.0 , 366 , 11.0 , 3.3 , 73.0 , 28 , 287 , 0.14 ,0, 0 
Nasi beras merah, 64.0 , 149 , 2.8 , 0.4 , 32.5 , 6 , 63 , 0.06 , 0.00 , 0 
Bihun goreng instan, 9.0 , 381 , 6.1 , 3.9 , 80.3 , 266 , 151 , 0.37 ,0, 0 
Nasi jagung, 11.0 , 357 , 8.8 , 0.5 , 79.5 , 5 , 43 , 0.30 , 0.02 , 0 
"Jagung muda, rebus", 53.2 , 142 , 5.0 , 0.7 , 30.3 , 5 , 105 , 0.15 , 0.00 , 0 
Roti putih, 40.0 , 248 , 8.0 , 1.2 , 50.0 , 10 , 95 , 0.10 , 0.29 , 0 
"Apem, kue", 63.1 , 148 , 2.0 , 0.5 , 33.9 ,0,0,0,0,0
Biskuit, 2.2 , 458 , 6.9 , 14.4 , 75.1 , 62 , 87 , 0.09 , 0.15 , 0 
Bakwan, 40.5 , 280 , 8.2 , 10.2 , 39.0 , 204 , 79 , 0.08 ,0, 0 
Ketoprak, 69.1 , 153 , 7.9 , 7.7 , 13.0 , 153 , 134 , 0.05 ,0, 0 
Kue sus, 56.6 , 221 , 7.5 , 10.2 , 24.8 , 105 , 85 , 0.12 ,0, 0 
Nasi rames, 65.8 , 155 , 10.3 , 4.2 , 19.1 , 239 , 62 , 0.59 , 0.00 ,0
Spaghetti, 66.1 , 139 , 7.4 , 2.1 , 22.6 , 109 , 53 , 0.35 ,0, 0 
"Eceng, segar","93,0",19,"1,0","0,2","3,8",80,45,"0,08","0,10",50
Gado-gado,"68,5",137,"6,1","3,2","21,0",301,135,"0,10",0,1
"Gambas (oyong), segar","94,5",19,"0,8","0,2","4,1",19,33,"0,03",0,8
"Genjer, segar","90,0",35,"1,7","0,2","7,7",62,33,"0,07","0,10",54
"Gudeg, sayur","69,2",160,"3,3","9,2","16,0",62,55,"0,15",0,0
Gulai pakis,"76,1",143,"4,0","11,4","6,0",548,124,"0,35",0,1
Gulai pliek,"71,9",176,"7,3","14,9","3,2",39,54,0,0,0
"Jagung muda / semi, segar","89,5",35,"2,2","0,1","7,4",7,100,"0,08","0,16",8
Jamur encik,"24,8",296,"9,4","1,1","62,0",5,277,"1,10","0,10",0
"Jamur kuping, kering","14,9",294,"16,0","0,9","64,6",51,223,"0,11","0,60",0
"Jamur kuping, segar","93,7",21,"3,8","0,6","0,9",3,94,"0,10","0,09",5
"Jamur merang, segar","91,5",30,"3,5","0,2","4,0",14,117,"0,02","0,20","0,2"
Jamur sagu,"91,3",48,"1,9","3,2","2,8",10,90,"0,20","0,20",0
"Jamur tiram, segar","92,5",30,"1,9","0,1","5,5",9,83,"0,30","0,20","0,2"
"Jantung pisang, segar","90,2",32,"1,2","0,3","7,1",30,50,"0,05","0,03",10
"Jengkol, segar","52,7",192,"5,4","0,3","40,7",4,150,"0,05","0,20",31
"Jotang, segar","89,0",34,"1,9","0,3","7,1",162,41,"0,03",0,20
"Kabau, segar","67,2",130,"6,7","0,3","25,2",4,204,"0,80","0,10",16
"Kacang mekah, polong, segar","93,6",22,"1,1","1,0","3,4",63,296,"0,02",0,0
"Kacang panjang, kukus","88,2",39,"3,0","0,6","7,6",100,91,"0,02","0,10",20
"Kacang panjang, rebus","90,9",30,"2,3","0,4","5,8",71,68,0,"0,07",15
"Kacang panjang, segar","91,8",31,"2,3","0,1","5,3",60,64,"0,70","0,10",46
Kacang ranti polong,"88,5",37,"3,1","0,2","7,9",103,126,"0,02",0,6
Kadada katembe,"80,0",110,"4,5","6,9","7,1",26,77,"0,10",0,23
"Kalakai, segar","89,9",38,"2,4","0,2","6,6",18,90,"0,30","0,10",8
Kangkung tondano,"88,5",43,"1,8","0,2","8,4",72,9,"0,80","0,10",23
"Kangkung, kukus","90,4",30,"3,2","0,7","4,7",70,49,"0,03","0,28",11
"Kangkung, rebus","93,0",22,"2,5","0,6","3,1",50,51,"0,01","0,22",13
"Kangkung, segar","91,0",28,"3,4","0,7","3,9",67,54,"0,07","0,36",17
"Kaparende, sayur","91,7",38,"2,4","2,0","2,6",126,68,"0,10",0,22
"Kapri muda, segar","86,8",45,"3,3","0,2","9,0",51,85,"0,20","0,10",49
Karawila,"93,7",25,"2,3","0,2","3,5",25,67,"0,10","0,10",39
"Karedok, sayur","79,0",92,"2,2","3,3","14,1",174,85,"0,08",0,3
"Kecipir muda, segar","90,4",32,"2,9","0,2","5,8",63,37,"0,24","0,11",19
"Kecombrang, segar","90,0",34,"0,9","1,0","6,7",60,16,0,"0,02",0
"Kelawi,kluwih, segar","70,0",118,"1,5","0,3","27,2",28,32,"0,10","0,03",19
Kembang Kol,"91,7",25,"2,4","0,2","4,9",22,72,"0,11","0,09",69
"Kembang turi, segar","87,4",51,"1,8","0,6","9,6",23,29,"0,13","0,12",41
Keripik bayam,"2,3",586,"4,9","40,6","50,2",236,117,"0,16",0,0
"Kerokot, segar","93,0",26,"1,7","0,4","3,8",103,39,"0,03","0,09",25
"Ketimun krai, segar","96,8",10,"0,5","0,2","2,0",20,98,"0,02","0,03",3
"Ketimun madura, segar","97,1",9,"0,5","0,1","1,9",15,102,"0,02","0,02",5
"Ketimun, segar","97,9",8,"0,2","0,2","1,4",29,95,"0,01","0,02",1
"Kol merah, kol putih","92,4",29,"1,4","0,2","5,3",46,31,"0,06","0,07",50
"Komak, segar","74,3",99,"3,3","0,1","21,2",50,99,"0,20","0,19",0
"Koro kerupuk, polong","67,2",128,"8,3","0,7","22,1",17,12,"0,11",0,31
"Koro wedus, polong","88,0",46,"3,0","0,3","7,9",56,47,"0,09","0,09",17
Kotiu hinela tawang nggole,"88,4",46,"2,2","1,5","6,0",64,44,"0,30",0,7
"Kucai muda (Lokio), segar","86,0",42,"3,8","0,6","7,8",76,91,"0,11","0,20",59
"Kucai, segar","86,3",45,"2,2","0,3","10,3",52,50,"0,11","0,20",17
"Alpukat, segar","84,3",85,"0,9","6,5","7,7",10,20,"0,05","0,08",13
"Anggur hutan, segar","92,3",30,"0,5","0,2","6,8",39,12,"0,01",0,3
"Apel malang, segar","85,9",57,"0,5","0,4","12,8",9,18,"0,05","0,03",5
"Apel, segar","84,1",58,"0,3","0,4","14,9",6,10,"0,04","0,03",5
"Arbai, segar","89,9",37,"0,8","0,5","8,3",28,27,"0,03",0,60
Barongko,"66,7",159,"3,1","5,8","23,5",35,65,0,0,8
"Belimbing, segar","90,0",36,"0,4","0,4","8,8",4,12,"0,03",0,35
"Biwah, segar","87,1",51,"0,3","0,1","12,1",220,14,"0,10","0,02",4
"Blewah, segar","90,2",34,"0,8","0,2","8,2",9,15,"0,04","0,02",37
"Buah atung, segar","92,0",23,"0,8","0,2","5,2",30,50,"0,29",0,38
"Buah kelenting, segar","73,9",110,"1,4","2,1","21,4",8,102,"0,20","0,10",6
"Buah kom, segar","33,7",264,"4,0","1,1","59,6",306,92,"0,11",0,9
"Buah mentega (Bisbul), segar","89,0",39,"0,7","0,2","9,7",43,17,"0,02","0,01",33
"Buah Naga Merah, segar","85,7",71,"1,7","3,1","9,1",13,14,"0,50","0,30",1
"Buah Naga Putih, segar","86,6",56,"0,8","1,0","10,9",13,27,"0,02","0,50",1
"Buah negri, segar","85,7",55,"1,2","0,1","12,2",30,40,"0,33","0,03",9
"Buah nona, segar","71,5",101,"1,7","0,6","25,2",27,20,"0,08","0,16",22
"Buah rotan, segar","79,4",78,"0,6","0,3","18,2",1,7,"0,12",0,5
"Buah rukam, segar","71,3",113,"0,8","0,3","26,8",108,52,"0,06","0,01",20
"Buah ruruhi, segar","93,0",29,"2,1","0,7","3,6",6,7,"0,06","0,01",10
"Buah tuppa, segar","82,5",67,"0,4","0,2","15,9",12,139,"0,04","0,01",5
"Carica papaya, segar","93,4",24,"1,9","0,2","3,7",51,33,"0,32","0,07",85
"Cempedak, segar","67,0",116,"3,0","0,4","28,6",20,30,0,0,15
Dodol nanas,"16,1",338,"1,5","1,2","80,3",0,0,"0,55",0,0
"Duku, segar","82,0",63,"1,0","0,2","16,1",18,9,"0,05","0,15",9
"Durian, segar","65,0",134,"2,5","3,0","28,0",7,44,"0,10","0,19",53
"Duwet, segar","80,2",80,"0,5","0,6","18,2",33,138,"0,02","0,01",130
"Embacang, segar","72,5",98,"1,4","0,2","25,4",21,15,"0,03","0,09",56
"Encung asam, segar","73,0",122,"3,5","4,5","17,5",63,69,"0,02",0,0
"Erbis, segar","80,0",70,"0,6",0,"18,9",11,50,0,"0,10",16
Gandaria masak,"80,8",68,"0,7","0,1","18,0",9,20,"0,03","0,07",111
"Gatep, segar","52,7",191,"4,5","1,5","39,7",186,69,"0,05","0,20",0
Getuk pisang,"63,7",144,"1,1","0,4","34,1",48,32,"0,34",0,0
"Jambu air, segar","87,0",46,"0,6","0,2","11,8",8,9,"0,02","0,38",5
Jambu biji,"86,0",49,"0,9","0,3","12,2",14,28,"0,02","0,03",87
Jambu biji putih tidak berbiji,"82,8",61,"0,9","0,3","15,4",31,41,"1,02","0,06",116
"Jambu bol, segar","87,1",49,"2,3","0,2","9,6",8,8,"0,13","0,01",22
"Jambu monyet, segar","82,6",64,"0,7","0,6","15,8",4,13,"0,02",0,197
"Jeruk bali, segar","86,3",48,"0,6","0,2","12,4",23,27,"0,04",0,43
"Jeruk banjar, segar","84,5",61,"0,8","0,2","14,1",9,13,"0,12","0,03",31
Jeruk garut-keprok,"87,3",44,"0,8","0,3","10,9",33,23,"0,07","0,03",31
"Jeruk Kalamansi, segar","90,2",39,"0,3","0,3","8,9",42,85,"0,02","0,10",30
"Jeruk manis, segar","87,2",45,"0,9","0,2","11,2",33,23,"0,08","0,03",49
"Jeruk nipis, segar","88,9",44,"0,5","0,2","10,0",18,22,"0,01","0,03",20
"Jeruk ragi, segar","87,6",49,"0,7","0,2","11,1",36,67,"0,03","0,03",30
"Kawista, segar","71,8",120,"3,5","2,5","20,8",190,230,"0,07","0,07",3
"Kedondong masak, segar","88,0",46,"1,0","0,1","10,3",15,22,"0,08","0,23",30
"Kedondong, segar","87,8",47,"0,5","0,2","10,4",7,58,"0,07","0,04",32
"Kelapa hutan, kering","6,0",623,"2,0","52,1","36,5",120,280,0,0,0
"Kelapa muda, daging, segar","83,3",68,"1,0","0,9","14,0",7,30,"0,06","0,02",4
"Kemang, segar","86,5",48,"1,0","0,2","11,9",10,24,"0,08","0,01",58
Keripik lampung,"5,0",485,"1,7","22,2","69,7",43,65,"0,41",0,0
"Kesemek, segar","78,2",78,"0,8","0,4","20,0",6,26,"0,05",0,11
"Kokosan, segar","85,0",86,"1,6","0,2","13,0",22,38,"0,04","0,04",3
"Kranji, segar","20,1",315,"2,1","1,4","73,5",160,120,"0,02",0,0
"Langsat, segar","84,1",56,"0,9","0,2","14,3",17,24,"0,07",0,9
Ledre pisang,"3,6",405,"4,8","5,1","84,9",59,124,"0,05",0,0
"Lemon, segar","92,2",34,"0,5","0,8","6,2",23,20,"0,09","0,12",50
Lempog durian,"25,2",320,"3,5","5,7","63,7",190,93,"0,18","0,04",15
Loka anjoro,"63,3",163,"1,1","4,3","30,0",0,0,0,0,3
"Lontar, segar","93,0",27,"0,4","0,2","6,0",91,243,"0,03",0,0
"Mangga benggala, segar","84,4",63,"2,4","0,4","12,4",9,13,"0,18","0,01",43
"Mangga gedung, segar","87,4",44,"0,7","0,2","11,2",13,10,"0,08","0,01",30
"Mangga golek, segar","82,2",63,"0,5","0,2","16,7",14,10,"0,08","0,02",65
"Mangga harumanis, segar","86,6",46,"0,4","0,2","11,9",15,9,"0,08","0,01",6
"Mangga indramayu, segar","80,2",72,"0,8","0,2","18,7",13,10,"0,06","0,02",16
"Mangga kopek, segar","84,5",56,"0,4","0,2","14,6",16,10,"0,03","0,01",27
"Mangga kwini, segar","78,6",86,"0,7","0,5","19,8",11,11,"0,15","0,02",18
"Mangga manalagi, segar","66,5",133,"1,0","0,1","32,1",20,23,"0,07",0,61
"Mangga muda, segar","83,7",59,"0,5","0,4","15,1",12,11,"0,06","0,02",2
"Mangga, segar","86,6",52,"0,7",0,"12,3",20,16,"0,03","0,01",12
"Manggis, segar","83,0",63,"0,6","0,6","15,6",8,12,"0,03","0,03",5
"Markisa, segar","64,7",144,"3,5","1,2","29,8",27,203,"0,02","0,17",10
"Matoa, segar","76,5",90,"1,2","0,1","21,1",20,40,"0,18","0,09",54
"Melon, segar","90,8",37,"0,6","0,4","7,8",12,14,"0,02","0,10","0,2"
"Menteng, segar","79,0",65,"1,7","0,3","16,1",13,20,0,0,0
"Mentimun Suri, segar","96,3",16,"1,3","0,0","2,1",768,422,0,0,25
"Nanas palembang, segar","85,5",58,"0,7","0,2","13,3",29,15,"0,26","0,03",11
"Nanas, segar","88,9",40,"0,6","0,3","9,9",22,14,"0,02","0,04",22
"Nangka masak pohon, segar","70,0",106,"1,2","0,3","27,6",20,19,"0,07","0,10",7
"Pala, daging, segar","88,1",42,"0,3","0,2","10,9",32,24,0,0,22
"Pepaya, segar","86,7",46,"0,5","12,0","12,2",23,12,"0,04","0,06",78
"Pisang ambon, segar","72,9",108,"1,0","0,8","24,3",20,30,"0,05","0,11",9
"Pisang angleng (pisang ampyang), segar","80,3",68,"1,3","0,2","17,2",10,26,"0,08","0,05",6
"Pisang ayam, segar","71,2",120,"1,1","0,2","26,8",20,61,"0,10","0,02",26
"Pisang gapi, segar","66,3",127,"2,1","0,3","31,1",0,40,"0,18","0,02",13
"Pisang goroho, segar","69,4",115,"1,9","0,2","27,9",0,30,"0,15","0,02",10
"Pisang hijau, segar","68,9",117,"2,0","0,3","28,9",0,37,"0,13","0,06",13
"Pisang kayu, segar","74,4",100,"1,4","0,5","23,6",15,0,"0,10",0,11
"Pisang kepok, segar","71,9",109,"0,8","0,5","26,3",10,30,"0,10",0,9
"Pisang ketip, segar","63,4",145,"1,1","0,3","34,5",5,54,"0,13","0,02",95
"Pisang kidang, segar","75,4",96,"1,0","0,2","22,5",87,173,"0,04","0,10",2
"Pisang lampung, segar","72,1",99,"1,3","0,2","25,6",10,19,"0,07","0,12",4
"Pisang mas bali ampenan, segar","76,8",92,"1,4","0,2","21,0",7,29,"0,09","0,03",11
"Pisang mas bali kopang, segar","64,2",127,"1,4","0,2","31,8",10,0,"0,21","0,05",17
"Pisang mas, segar","64,2",127,"1,4","0,2","33,6",7,25,"0,09","0,08",2
"Pisang raja sereh, segar","69,3",108,"1,3","0,3","28,2",16,38,"0,02","0,08",2
"Pisang raja, segar","65,8",120,"1,2","0,2","31,8",10,22,"0,06","0,14",10
"Pisang rotan, segar","76,1",98,"1,3","1,2","20,5",17,51,"0,01","0,10",2
"Pisang talas, segar","71,0",113,"1,2","0,2","26,7",22,22,"0,12","0,03",9
"Ikan Puntin, segar","81,1",76,"14,4","1,1","2,2",28,166,"0,31","0,11",0
"Ikan sale lais, mentah","12,4",415,"61,3","17,6","2,9",258,919,"0,03","0,10",0
"Ikan Sale, segar","8,5",534,"40,2","39,3","4,9",199,"1,244","0,02","0,50","0,2"
"Ikan saluang, kering, mentah","33,6",284,"34,1","9,9","14,6","1,426","1,103","0,49","0,03",0
"Ikan saluang, segar","74,8",113,"13,9","4,9","3,4",642,646,"0,21","0,02",0
"Ikan sanggang, masakan","42,6",240,"21,7","7,7","20,7",159,362,"0,51","0,02",0
"Ikan sarden, segar","72,7",109,"19,9","1,8","3,4",95,597,"0,26","0,03",0
"Ikan selar kuning, cue, mentah","59,0",138,"27,0","3,3",0,50,100,"0,10",0,0
"Ikan selar, kering, mentah","43,0",194,"38,0","3,5",0,20,200,"0,01",0,0
"Ikan selar, segar","75,4",100,"18,8","2,2",0,40,179,"0,37","0,20",0
"Ikan sepat, kering, mentah","30,0",289,"38,0","14,0",0,40,100,0,0,0
"Ikan sepat, segar","78,8",84,"15,2","0,6","4,7",68,171,"0,16","0,03",0
"Ikan sidat, segar","71,3",81,"11,4","1,9","3,8",118,174,0,"0,40",0
"Ikan sunu, asin, mentah","34,7",199,"34,1","3,8","7,1",94,92,"1,50","0,13",0
"Ikan sunu, segar","75,5",111,"13,3","3,4","6,7",86,174,"1,03","0,10",0
"Ikan tahuman, segar","77,4",88,"15,9","0,9","4,1",221,223,"0,20","0,25",0
"Ikan tarmon, segar","76,7",96,"19,5","1,1","2,0",9,129,"0,15","0,02",0
"Ikan telan, segar","75,3",95,"15,8","0,7","6,5",503,354,"0,18","0,02",0
"Ikan tembang, segar","65,0",204,"16,0","15,0",0,20,200,"0,05",0,0
